t1,ch1,t2,ch2
0,0.783776226,0,0.764893055
1,0.788754559,1,0.764893055
2,0.778797894,2,0.769878101
3,0.793732891,3,0.769878101
4,0.793732891,4,0.764893055
5,0.793732891,5,0.779848194
6,0.803689556,6,0.774863148
7,0.783776226,7,0.774863148
8,0.803689556,8,0.779848194
9,0.803689556,9,0.774863148
10,0.803689556,10,0.774863148
11,0.798711224,11,0.774863148
12,0.798711224,12,0.774863148
13,0.793732891,13,0.769878101
14,0.798711224,14,0.779848194
15,0.798711224,15,0.784833241
16,0.808667889,16,0.779848194
17,0.808667889,17,0.784833241
18,0.803689556,18,0.779848194
19,0.803689556,19,0.779848194
20,0.798711224,20,0.784833241
21,0.808667889,21,0.784833241
22,0.818624554,22,0.784833241
23,0.813646221,23,0.784833241
24,0.808667889,24,0.784833241
25,0.828581219,25,0.784833241
26,0.813646221,26,0.784833241
27,0.818624554,27,0.784833241
28,0.818624554,28,0.784833241
29,0.818624554,29,0.784833241
30,0.813646221,30,0.779848194
31,0.813646221,31,0.789818287
32,0.823602886,32,0.784833241
33,0.813646221,33,0.789818287
34,0.828581219,34,0.789818287
35,0.828581219,35,0.789818287
36,0.823602886,36,0.789818287
37,0.828581219,37,0.789818287
38,0.818624554,38,0.784833241
39,0.823602886,39,0.789818287
40,0.828581219,40,0.789818287
41,0.828581219,41,0.789818287
42,0.818624554,42,0.789818287
43,0.828581219,43,0.789818287
44,0.833559551,44,0.789818287
45,0.828581219,45,0.789818287
46,0.833559551,46,0.794803333
47,0.833559551,47,0.789818287
48,0.828581219,48,0.789818287
49,0.838537884,49,0.789818287
50,0.833559551,50,0.789818287
51,0.828581219,51,0.789818287
52,0.833559551,52,0.789818287
53,0.843516216,53,0.789818287
54,0.843516216,54,0.79978838
55,0.843516216,55,0.79978838
56,0.843516216,56,0.804773426
57,0.833559551,57,0.794803333
58,0.843516216,58,0.814743519
59,0.848494549,59,0.819728565
60,0.848494549,60,0.809758472
61,0.848494549,61,0.804773426
62,0.843516216,62,0.819728565
63,0.848494549,63,0.829698658
64,0.853472881,64,0.824713612
65,0.853472881,65,0.819728565
66,0.858451214,66,0.834683704
67,0.858451214,67,0.834683704
68,0.853472881,68,0.824713612
69,0.858451214,69,0.829698658
70,0.848494549,70,0.819728565
71,0.858451214,71,0.834683704
72,0.858451214,72,0.839668751
73,0.863429546,73,0.849638844
74,0.868407879,74,0.839668751
75,0.858451214,75,0.839668751
76,0.863429546,76,0.844653797
77,0.858451214,77,0.839668751
78,0.863429546,78,0.839668751
79,0.873386211,79,0.85462389
80,0.863429546,80,0.844653797
81,0.868407879,81,0.849638844
82,0.863429546,82,0.849638844
83,0.873386211,83,0.864593983
84,0.873386211,84,0.859608936
85,0.873386211,85,0.849638844
86,0.873386211,86,0.859608936
87,0.878364544,87,0.869579029
88,0.868407879,88,0.859608936
89,0.873386211,89,0.859608936
90,1.18702116,90,0.869579029
91,1.16710783,91,0.869579029
92,1.1471945,92,0.869579029
93,1.16710783,93,0.874564075
94,1.16710783,94,0.874564075
95,1.162129498,95,0.874564075
96,1.152172832,96,0.869579029
97,1.1471945,97,0.864593983
98,1.16710783,98,0.869579029
99,1.157151165,99,0.874564075
100,1.162129498,100,0.869579029
101,1.157151165,101,0.869579029
102,1.162129498,102,0.869579029
103,1.162129498,103,0.874564075
104,1.172086163,104,0.884534168
105,1.16710783,105,0.874564075
106,1.162129498,106,0.869579029
107,1.172086163,107,0.884534168
108,1.177064495,108,0.884534168
109,1.16710783,109,0.884534168
110,1.172086163,110,0.879549122
111,1.177064495,111,0.884534168
112,1.177064495,112,0.889519215
113,1.177064495,113,0.879549122
114,1.182042828,114,0.879549122
115,1.177064495,115,0.889519215
116,1.177064495,116,0.884534168
117,1.182042828,117,0.884534168
118,1.177064495,118,0.899489307
119,1.177064495,119,0.899489307
120,1.182042828,120,0.899489307
121,1.18702116,121,0.889519215
122,1.182042828,122,0.899489307
123,1.182042828,123,0.899489307
124,1.18702116,124,0.894504261
125,1.177064495,125,0.889519215
126,1.182042828,126,0.904474354
127,1.177064495,127,0.889519215
128,1.18702116,128,0.904474354
129,1.182042828,129,0.899489307
130,1.18702116,130,0.904474354
131,1.18702116,131,0.904474354
132,1.182042828,132,0.899489307
133,1.18702116,133,0.9094594
134,1.191999493,134,0.904474354
135,1.18702116,135,0.904474354
136,1.177064495,136,0.904474354
137,1.191999493,137,0.904474354
138,1.191999493,138,0.914444447
139,1.18702116,139,0.9094594
140,1.191999493,140,0.9094594
141,1.191999493,141,0.904474354
142,1.191999493,142,0.914444447
143,1.191999493,143,0.9094594
144,1.191999493,144,0.919429493
145,1.191999493,145,0.919429493
146,1.191999493,146,0.919429493
147,1.191999493,147,0.914444447
148,1.191999493,148,0.914444447
149,1.191999493,149,0.924414539
150,1.18702116,150,0.914444447
151,1.191999493,151,0.924414539
152,1.191999493,152,0.924414539
153,1.191999493,153,0.914444447
154,1.191999493,154,0.929399586
155,1.191999493,155,0.929399586
156,1.196977825,156,0.929399586
157,1.191999493,157,0.924414539
158,1.191999493,158,0.934384632
159,1.191999493,159,0.919429493
160,1.196977825,160,0.924414539
161,1.191999493,161,0.929399586
162,1.196977825,162,0.929399586
163,1.196977825,163,0.939369678
164,1.191999493,164,0.934384632
165,1.191999493,165,0.939369678
166,1.191999493,166,0.934384632
167,1.191999493,167,0.939369678
168,1.196977825,168,0.934384632
169,1.196977825,169,0.944354725
170,1.196977825,170,0.939369678
171,1.196977825,171,0.949339771
172,1.196977825,172,0.939369678
173,1.196977825,173,0.949339771
174,1.191999493,174,0.944354725
175,1.196977825,175,0.944354725
176,1.191999493,176,0.944354725
177,1.196977825,177,0.944354725
178,1.196977825,178,0.944354725
179,1.196977825,179,0.949339771
180,1.191999493,180,0.939369678
181,1.196977825,181,0.949339771
182,1.196977825,182,0.949339771
183,1.191999493,183,0.944354725
184,1.196977825,184,0.954324818
185,1.196977825,185,0.949339771
186,1.196977825,186,0.954324818
187,1.191999493,187,0.959309864
188,1.196977825,188,0.949339771
189,1.196977825,189,0.944354725
190,1.196977825,190,0.949339771
191,1.201956158,191,0.954324818
192,1.201956158,192,0.959309864
193,1.196977825,193,0.954324818
194,1.196977825,194,0.959309864
195,1.196977825,195,0.959309864
196,1.196977825,196,0.954324818
197,1.196977825,197,0.959309864
198,1.196977825,198,0.974265003
199,1.196977825,199,0.969279957
200,1.196977825,200,0.96429491
201,1.196977825,201,0.969279957
202,1.201956158,202,0.959309864
203,1.196977825,203,0.959309864
204,1.20693449,204,0.97925005
205,1.201956158,205,0.969279957
206,1.196977825,206,0.96429491
207,1.196977825,207,0.974265003
208,1.201956158,208,0.97925005
209,1.201956158,209,0.974265003
210,1.20693449,210,0.969279957
211,1.196977825,211,0.959309864
212,1.196977825,212,0.97925005
213,1.196977825,213,0.969279957
214,1.211912823,214,0.984235096
215,1.211912823,215,0.984235096
216,1.196977825,216,0.97925005
217,1.196977825,217,0.974265003
218,1.22684782,218,0.969279957
219,1.196977825,219,0.97925005
220,1.241782818,220,0.974265003
221,1.196977825,221,0.96429491
222,1.20693449,222,0.97925005
223,1.22684782,223,0.974265003
224,1.20693449,224,0.97925005
225,1.236804485,225,0.984235096
226,1.20693449,226,0.984235096
227,1.211912823,227,0.984235096
228,1.211912823,228,0.989220142
229,1.24676115,229,0.989220142
230,1.231826153,230,0.999190235
231,1.241782818,231,0.984235096
232,1.22684782,232,0.994205189
233,1.256717815,233,1.004175282
234,1.24676115,234,1.004175282
235,1.231826153,235,0.999190235
236,1.251739483,236,0.994205189
237,1.241782818,237,0.989220142
238,1.216891155,238,0.994205189
