t2,ch1,t2,ch2
0,1.002037649,-0.000387554,0.016100887
5.00E-07,1.008064566,-0.000387054,0.019096401
0.000001,1.002037649,-0.000386554,0.018097897
1.50E-06,0.992997274,-0.000386054,0.020094906
0.000002,1.010073538,-0.000385554,0.014103878
2.50E-06,1.010073538,-0.000385054,0.000124813
0.000003,1.014091482,-0.000384554,0.012106869
3.50E-06,1.018109426,-0.000384054,0.009111355
-0.000383554,1.010073538,-0.000383554,0.019096401
-0.000383054,1.002037649,-0.000383054,0.014103878
-0.000382554,1.002037649,-0.000382554,0.016100887
-0.000382054,1.001033163,-0.000382054,0.015102383
-0.000381554,0.987974844,-0.000381554,0.018097897
-0.000381054,0.998019705,-0.000381054,0.014103878
-0.000380554,0.990988302,-0.000380554,0.012106869
-0.000380054,1.000028677,-0.000380054,0.012106869
-0.000379554,1.006055593,-0.000379554,0.005117336
-0.000379054,1.002037649,-0.000379054,0.019096401
-0.000378554,1.001033163,-0.000378554,0.005117336
-0.000378054,1.016100454,-0.000378054,0.026085934
-0.000377554,1.000028677,-0.000377554,0.02309042
-0.000377054,1.002037649,-0.000377054,0.019096401
-0.000376554,0.996010733,-0.000376554,0.009111355
-0.000376054,1.008064566,-0.000376054,0.006115841
-0.000375554,1.009069052,-0.000375554,0.022091915
-0.000375054,1.005051107,-0.000375054,0.017099392
-0.000374554,1.006055593,-0.000374554,0.006115841
-0.000374054,1.009069052,-0.000374054,0.006115841
-0.000373554,1.014091482,-0.000373554,0.014103878
-0.000373054,1.005051107,-0.000373054,0.018097897
-0.000372554,1.008064566,-0.000372554,0.012106869
-0.000372054,1.010073538,-0.000372054,0.006115841
-0.000371554,1.00706008,-0.000371554,0.002121822
-0.000371054,1.002037649,-0.000371054,0.014103878
-0.000370554,1.010073538,-0.000370554,0.013105373
-0.000370054,1.018109426,-0.000370054,0.010109859
-0.000369554,1.01208251,-0.000369554,0.016100887
-0.000369054,1.010073538,-0.000369054,0.012106869
-0.000368554,0.735848837,-0.000368554,-0.44620676
-0.000368054,0.221551962,-0.000368054,-0.546057224
-0.000367554,0.096995687,-0.000367554,-0.473166386
-0.000367054,0.063847647,-0.000367054,-0.37730994
-0.000366554,0.049784842,-0.000366554,-0.305417606
-0.000366054,0.030699606,-0.000366054,-0.244508823
-0.000365554,0.032708578,-0.000365554,-0.193585087
-0.000365054,0.033713064,-0.000365054,-0.141662846
-0.000364554,0.03471755,-0.000364554,-0.108712193
-0.000364054,0.036726522,-0.000364054,-0.071767521
-0.000363554,0.022663717,-0.000363554,-0.065776493
-0.000363054,0.030699606,-0.000363054,-0.049800419
-0.000362554,0.032708578,-0.000362554,-0.020843784
-0.000362054,0.027686148,-0.000362054,-0.018846775
-0.000361554,0.031704092,-0.000361554,-0.021842289
-0.000361054,0.023668203,-0.000361054,-0.012855747
-0.000360554,0.03471755,-0.000360554,-0.006864719
-0.000360054,0.013623343,-0.000360054,0.003120327
-0.000359554,0.018645773,-0.000359554,0.017099392
-0.000359054,0.03471755,-0.000359054,0.002121822
-0.000358554,0.03471755,-0.000358554,0.016100887
-0.000358054,0.037731009,-0.000358054,0.018097897
-0.000357554,0.025677176,-0.000357554,0.009111355
-0.000357054,0.028690634,-0.000357054,0.016100887
-0.000356554,0.027686148,-0.000356554,0.009111355
-0.000356054,0.017641287,-0.000356054,0.018097897
-0.000355554,0.020654745,-0.000355554,0.016100887
-0.000355054,0.025677176,-0.000355054,0.010109859
-0.000354554,0.025677176,-0.000354554,0.013105373
-0.000354054,0.021659231,-0.000354054,0.022091915
-0.000353554,0.003578482,-0.000353554,0.015102383
-0.000353054,0.023668203,-0.000353054,0.022091915
-0.000352554,0.020654745,-0.000352554,0.016100887
-0.000352054,0.013623343,-0.000352054,0.015102383
-0.000351554,0.021659231,-0.000351554,0.016100887
-0.000351054,0.01161437,-0.000351054,0.013105373
-0.000350554,0.009605398,-0.000350554,0.012106869
-0.000350054,0.018645773,-0.000350054,0.010109859
-0.000349554,0.025677176,-0.000349554,0.012106869
-0.000349054,0.022663717,-0.000349054,0.003120327
-0.000348554,0.026681662,-0.000348554,0.012106869
-0.000348054,0.019650259,-0.000348054,0.009111355
-0.000347554,0.031704092,-0.000347554,0.010109859
-0.000347054,0.025677176,-0.000347054,0.018097897
-0.000346554,0.017641287,-0.000346554,0.014103878
-0.000346054,0.028690634,-0.000346054,0.012106869
-0.000345554,0.022663717,-0.000345554,0.018097897
-0.000345054,0.009605398,-0.000345054,0.010109859
-0.000344554,0.019650259,-0.000344554,0.006115841
-0.000344054,0.027686148,-0.000344054,0.009111355
-0.000343554,0.039739981,-0.000343554,0.012106869
-0.000343054,0.022663717,-0.000343054,0.014103878
-0.000342554,0.017641287,-0.000342554,0.002121822
-0.000342054,0.033713064,-0.000342054,0.004118832
-0.000341554,0.032708578,-0.000341554,0.016100887
-0.000341054,0.016636801,-0.000341054,0.00811285
-0.000340554,-0.000439463,-0.000340554,0.020094906
-0.000340054,0.014627829,-0.000340054,-0.008861729
-0.000339554,0.027686148,-0.000339554,0.004118832
-0.000339054,0.025677176,-0.000339054,0.001123318
-0.000338554,0.027686148,-0.000338554,0.006115841
-0.000338054,0.025677176,-0.000338054,0.017099392
-0.000337554,0.024672689,-0.000337554,0.00811285
-0.000337054,0.020654745,-0.000337054,0.012106869
-0.000336554,0.03471755,-0.000336554,0.006115841
-0.000336054,0.030699606,-0.000336054,0.02109341
-0.000335554,0.017641287,-0.000335554,0.017099392
-0.000335054,0.027686148,-0.000335054,0.012106869
-0.000334554,0.026681662,-0.000334554,0.015102383
-0.000334054,0.023668203,-0.000334054,-0.001872196
-0.000333554,0.019650259,-0.000333554,0.00811285
-0.000333054,0.025677176,-0.000333054,0.006115841
-0.000332554,0.039739981,-0.000332554,0.006115841
-0.000332054,0.030699606,-0.000332054,0.022091915
-0.000331554,0.025677176,-0.000331554,0.018097897
-0.000331054,0.023668203,-0.000331054,0.014103878
-0.000330554,0.019650259,-0.000330554,0.010109859
-0.000330054,0.021659231,-0.000330054,0.018097897
-0.000329554,0.017641287,-0.000329554,0.012106869
-0.000329054,0.024672689,-0.000329054,0.016100887
-0.000328554,0.038735495,-0.000328554,0.035072475
-0.000328054,0.02969512,-0.000328054,0.030079952
-0.000327554,0.091973257,-0.000327554,0.305667233
-0.000327054,0.792100058,-0.000327054,0.569272457
-0.000326554,0.921678762,-0.000326554,0.513356197
-0.000326054,0.986970358,-0.000326054,0.425487789
-0.000325554,0.991992788,-0.000325554,0.350599941
-0.000325054,1.002037649,-0.000325054,0.269721066
-0.000324554,0.995006247,-0.000324554,0.220794338
-0.000324054,1.005051107,-0.000324054,0.174863125
-0.000323554,1.016100454,-0.000323554,0.131927425
-0.000323054,1.000028677,-0.000323054,0.111957333
-0.000322554,0.989983816,-0.000322554,0.085996212
-0.000322054,0.998019705,-0.000322054,0.081003689
-0.000321554,0.995006247,-0.000321554,0.055042568
-0.000321054,0.989983816,-0.000321054,0.033075466
-0.000320554,1.008064566,-0.000320554,0.033075466
-0.000320054,0.998019705,-0.000320054,0.030079952
-0.000319554,0.990988302,-0.000319554,0.033075466
-0.000319054,0.996010733,-0.000319054,0.02109341
-0.000318554,1.000028677,-0.000318554,0.034073971
-0.000318054,0.996010733,-0.000318054,0.02109341
-0.000317554,1.013086996,-0.000317554,0.006115841
-0.000317054,1.000028677,-0.000317054,0.018097897
-0.000316554,1.006055593,-0.000316554,0.014103878
-0.000316054,0.996010733,-0.000316054,0.018097897
-0.000315554,1.00706008,-0.000315554,0.012106869
-0.000315054,1.002037649,-0.000315054,0.016100887
-0.000314554,1.000028677,-0.000314554,0.006115841
-0.000314054,1.000028677,-0.000314054,0.013105373
-0.000313554,1.006055593,-0.000313554,0.009111355
-0.000313054,1.00706008,-0.000313054,0.006115841
-0.000312554,0.991992788,-0.000312554,0.016100887
-0.000312054,0.984961386,-0.000312054,0.014103878
-0.000311554,0.996010733,-0.000311554,0.012106869
-0.000311054,1.008064566,-0.000311054,0.006115841
-0.000310554,1.000028677,-0.000310554,0.019096401
-0.000310054,0.998019705,-0.000310054,0.018097897
-0.000309554,1.010073538,-0.000309554,0.020094906
-0.000309054,1.000028677,-0.000309054,0.019096401
-0.000308554,0.991992788,-0.000308554,0.019096401
-0.000308054,1.002037649,-0.000308054,0.016100887
-0.000307554,1.008064566,-0.000307554,0.006115841
-0.000307054,1.008064566,-0.000307054,0.014103878
-0.000306554,1.002037649,-0.000306554,0.018097897
-0.000306054,1.009069052,-0.000306054,0.011108364
-0.000305554,1.002037649,-0.000305554,0.009111355
-0.000305054,1.002037649,-0.000305054,0.006115841
-0.000304554,1.014091482,-0.000304554,-0.001872196
-0.000304054,1.016100454,-0.000304054,0.022091915
-0.000303554,1.000028677,-0.000303554,0.002121822
-0.000303054,1.000028677,-0.000303054,0.018097897
-0.000302554,0.990988302,-0.000302554,0.014103878
-0.000302054,0.997015219,-0.000302054,0.000124813
-0.000301554,1.008064566,-0.000301554,0.013105373
-0.000301054,1.002037649,-0.000301054,0.014103878
-0.000300554,0.999024191,-0.000300554,0.001123318
-0.000300054,1.013086996,-0.000300054,-0.003869205
-0.000299554,1.002037649,-0.000299554,-0.005866215
-0.000299054,1.004046621,-0.000299054,0.014103878
-0.000298554,0.996010733,-0.000298554,0.020094906
-0.000298054,1.004046621,-0.000298054,0.018097897
